OrderDetailID,OrderID,ProductID,Quantity
859,459,209,4
860,460,210,5
861,461,211,1
862,462,212,2
863,463,213,3
864,464,214,4
865,465,215,5
866,466,216,1
867,467,217,2
868,468,218,3
869,469,219,4
870,470,220,5
871,471,221,1
872,472,222,2
873,473,223,3
874,474,224,4
875,475,225,5
876,476,226,1
877,477,227,2
878,478,228,3
879,479,229,4
880,480,230,5
881,481,231,1
882,482,232,2
883,483,233,3
884,484,234,4
885,485,235,5
886,486,236,1
887,487,237,2
888,488,238,3
889,489,239,4
890,490,240,5
891,491,241,1
892,492,242,2
893,493,243,3
894,494,244,4
895,495,245,5
896,496,246,1
897,497,247,2
898,498,248,3
899,499,249,4
900,500,250,5
901,501,201,1
902,502,202,2
903,503,203,3
904,504,204,4
905,505,205,5
906,506,206,1
907,507,207,2
908,508,208,3
909,509,209,4
910,510,210,5
911,511,211,1
912,512,212,2
913,513,213,3
914,514,214,4
915,515,215,5
916,516,216,1
917,517,217,2
918,518,218,3
919,519,219,4
920,520,220,5
921,521,221,1
922,522,222,2
923,523,223,3
924,524,224,4
925,525,225,5
926,526,226,1
927,527,227,2
928,528,228,3
929,529,229,4
930,530,230,5
931,531,231,1
932,532,232,2
933,533,233,3
934,534,234,4
935,535,235,5
936,536,236,1
937,537,237,2
938,538,238,3
939,539,239,4
940,540,240,5
941,541,241,1
942,542,242,2
943,543,243,3
944,544,244,4
945,545,245,5
946,546,246,1
947,547,247,2
948,548,248,3
949,549,249,4
950,550,250,5
951,551,201,1
952,552,202,2
953,553,203,3
954,554,204,4
955,555,205,5
956,556,206,1
957,557,207,2
958,558,208,3
959,559,209,4
960,560,210,5
961,561,211,1
962,562,212,2
963,563,213,3
964,564,214,4
965,565,215,5
966,566,216,1
967,567,217,2
968,568,218,3
969,569,219,4
970,570,220,5
971,571,221,1
972,572,222,2
973,573,223,3
974,574,224,4
975,575,225,5
976,576,226,1
977,577,227,2
978,578,228,3
979,579,229,4
980,580,230,5
981,581,231,1
982,582,232,2
983,583,233,3
984,584,234,4
985,585,235,5
986,586,236,1
987,587,237,2
988,588,238,3
989,589,239,4
990,590,240,5
991,591,241,1
992,592,242,2
993,593,243,3
994,594,244,4
995,595,245,5
996,596,246,1
997,597,247,2
998,598,248,3
999,599,249,4
1000,600,250,5
